Unnamed: 0,rb_college_height_inches_zscore,rb_hw_ratio_zscore,rb_forty_zscore,rb_vertical_zscore,rb_bench_zscore,rb_broad_zscore,rb_threecone_zscore,rb_shuttle_zscore,rb_rushing_games_zscore,rb_rushing_rec_td_zscore,rb_rushing_rec_yards_zscore,rb_rushing_receptions_zscore,rb_rushing_rush_att_zscore,rb_rushing_rush_td_zscore,rb_rushing_rush_yds_zscore,rb_rushing_scrim_plays_zscore,rb_rushing_scrim_tds_zscore,rb_rushing_scrim_yds_zscore,rb_rushing_seasons_zscore,rb_max_madden_zscore,rb_rushing_rec_td_pg_zscore,rb_rushing_rec_yards_pg_zscore,rb_rushing_receptions_pg_zscore,rb_rushing_rush_att_pg_zscore,rb_rushing_rush_td_pg_zscore,rb_rushing_rush_yds_pg_zscore,rb_rushing_scrim_plays_pg_zscore,rb_rushing_scrim_tds_pg_zscore,rb_rushing_scrim_yds_pg_zscore,rb_rushing_rush_td_pg_cf_scaled_zscore,rb_rushing_rush_yds_pg_cf_scaled_zscore,rb_rushing_scrim_plays_pg_cf_scaled_zscore,rb_rushing_scrim_tds_pg_cf_scaled_zscore,rb_rushing_scrim_yds_pg_cf_scaled_zscore,rb_football_spending_zscore,rb_coaches_salaries_zscore,rb_ticket_sales_zscore,rb_ann_rain_inch_zscore,rb_ann_snow_inch_zscore,rb_min_jan_zscore,rb_min_feb_zscore,rb_min_mar_zscore,rb_min_apr_zscore,rb_min_may_zscore,rb_min_jun_zscore,rb_min_jul_zscore,rb_min_aug_zscore,rb_min_sep_zscore,rb_min_oct_zscore,rb_min_nov_zscore,rb_min_dec_zscore,rb_max_jan_zscore,rb_max_feb_zscore,rb_max_mar_zscore,rb_max_apr_zscore,rb_max_may_zscore,rb_max_jun_zscore,rb_max_jul_zscore,rb_max_aug_zscore,rb_max_sep_zscore,rb_max_oct_zscore,rb_max_nov_zscore,rb_max_dec_zscore,wr_college_weight_pounds_zscore,wr_college_height_inches_zscore,wr_hw_ratio_zscore,wr_forty_zscore,wr_vertical_zscore,wr_bench_zscore,wr_broad_zscore,wr_threecone_zscore,wr_shuttle_zscore,wr_receiving_rec_td_zscore,wr_receiving_rec_yards_zscore,wr_receiving_receptions_zscore,wr_receiving_scrim_plays_zscore,wr_receiving_rec_td_pg_zscore,wr_receiving_rec_yards_pg_zscore,wr_receiving_receptions_pg_zscore,wr_receiving_scrim_plays_pg_zscore,wr_receiving_rec_td_pg_cf_scaled_zscore,wr_receiving_rec_yards_pg_cf_scaled_zscore,wr_receiving_receptions_pg_cf_scaled_zscore,wr_receiving_scrim_plays_pg_cf_scaled_zscore,wr_football_spending_zscore,wr_coaches_salaries_zscore,wr_ticket_sales_zscore,wr_ann_rain_inch_zscore,wr_ann_snow_inch_zscore,wr_min_jan_zscore,wr_min_feb_zscore,wr_min_mar_zscore,wr_min_apr_zscore,wr_min_may_zscore,wr_min_jun_zscore,wr_min_jul_zscore,wr_min_aug_zscore,wr_min_sep_zscore,wr_min_oct_zscore,wr_min_nov_zscore,wr_min_dec_zscore,wr_max_jan_zscore,wr_max_feb_zscore,wr_max_mar_zscore,wr_max_apr_zscore,wr_max_may_zscore,wr_max_jun_zscore,wr_max_jul_zscore,wr_max_aug_zscore,wr_max_sep_zscore,wr_max_oct_zscore,wr_max_nov_zscore,wr_max_dec_zscore,wr_max_madden_zscore,cb_college_weight_pounds_zscore,cb_college_height_inches_zscore,cb_hw_ratio_zscore,cb_forty_zscore,cb_vertical_zscore,cb_bench_zscore,cb_broad_zscore,cb_threecone_zscore,cb_shuttle_zscore,cb_defense_ast_tackles_pg_zscore,cb_defense_fum_forced_pg_zscore,cb_defense_fum_rec_pg_zscore,cb_defense_fum_tds_pg_zscore,cb_defense_fum_yds_pg_zscore,cb_defense_int_pg_zscore,cb_defense_int_td_pg_zscore,cb_defense_int_yards_pg_zscore,cb_defense_loss_tackles_pg_zscore,cb_defense_pd_pg_zscore,cb_defense_sacks_pg_zscore,cb_defense_solo_tackes_pg_zscore,cb_defense_tackles_pg_zscore,cb_defense_ast_tackles_pg_cf_scaled_zscore,cb_defense_fum_forced_pg_cf_scaled_zscore,cb_defense_fum_rec_pg_cf_scaled_zscore,cb_defense_fum_tds_pg_cf_scaled_zscore,cb_defense_fum_yds_pg_cf_scaled_zscore,cb_defense_int_pg_cf_scaled_zscore,cb_defense_int_td_pg_cf_scaled_zscore,cb_defense_int_yards_pg_cf_scaled_zscore,cb_defense_loss_tackles_pg_cf_scaled_zscore,cb_defense_pd_pg_cf_scaled_zscore,cb_defense_sacks_pg_cf_scaled_zscore,cb_defense_solo_tackes_pg_cf_scaled_zscore,cb_defense_tackles_pg_cf_scaled_zscore,cb_football_spending_zscore,cb_coaches_salaries_zscore,cb_ticket_sales_zscore,cb_ann_rain_inch_zscore,cb_ann_snow_inch_zscore,cb_min_jan_zscore,cb_min_feb_zscore,cb_min_mar_zscore,cb_min_apr_zscore,cb_min_may_zscore,cb_min_jun_zscore,cb_min_jul_zscore,cb_min_aug_zscore,cb_min_sep_zscore,cb_min_oct_zscore,cb_min_nov_zscore,cb_min_dec_zscore,cb_max_jan_zscore,cb_max_feb_zscore,cb_max_mar_zscore,cb_max_apr_zscore,cb_max_may_zscore,cb_max_jun_zscore,cb_max_jul_zscore,cb_max_aug_zscore,cb_max_sep_zscore,cb_max_oct_zscore,cb_max_nov_zscore,cb_max_dec_zscore,cb_max_madden_zscore,rb_college_weight_pounds_zscore
mean,70.55407969639468,0.3299257859864072,4.555525291828793,34.36480186480186,19.435323383084576,118.0190023752969,7.062059800664453,4.263355263157894,37.80075901328273,2.6622390891840606,461.91081593927896,50.413662239089184,492.1404174573055,25.45351043643264,2631.8861480075902,542.5540796963946,28.1157495256167,3093.7969639468693,3.4250474383301706,76.2397476340694,0.0702751393803802,12.08640492670113,1.3143649133747677,13.136395872519284,0.68507893587956,70.49623259619977,14.450760785894053,0.7553540752599404,82.58263752290091,0.6026655660526109,62.148577577537786,12.748619622123435,0.6638377848771971,72.77698172489205,20836872.27347939,5751477.975718782,20818276.244037088,40.94106261859582,1.381271347248577,29.5415559772296,32.25901328273245,38.6246679316888,46.12960151802656,54.740227703984814,62.466223908918415,66.33889943074003,65.37514231499051,58.90967741935484,48.80284629981024,39.987855787476285,31.95104364326376,48.648387096774194,52.5428842504744,60.437001897533214,69.1965844402277,77.07001897533208,84.16622390891838,87.89772296015178,87.17722960151804,81.43472485768503,71.45294117647059,60.50170777988616,50.55977229601518,201.9852034525277,72.68803945745992,0.3612951503618469,4.511931385006354,35.26238390092879,14.531806615776082,120.43402225755167,6.97023622047244,4.220076628352491,15.833538840937116,2024.889025893958,138.49075215782983,149.56226880394576,0.4400588148503304,55.90988487325946,3.7957006276847367,4.090111085899776,0.3805921341818664,48.39134726819287,3.2830917852521404,3.5376432724018416,20205020.133679125,5619257.141510194,19963149.236101944,41.36884093711468,1.402379778051788,29.66411837237977,32.25006165228114,38.58766954377312,46.16226880394575,54.84315659679409,62.618249075215786,66.42392108508015,65.46633785450061,59.00826140567201,48.882737361282366,40.09038224414304,32.112577065351424,48.87583230579532,52.75635018495685,60.63144266337855,69.44574599260173,77.37694204685573,84.46436498150432,88.16868064118371,87.43736128236745,81.6489519112207,71.64907521578299,60.72959309494451,50.78742293464858,73.79354838709678,193.1752767527676,71.22878228782288,0.3693407193972988,4.4951782363977495,35.96924829157175,14.471563981042657,121.83333333333331,6.931631419939577,4.157719298245614,0.7749554352924023,0.0194286407838358,0.0133717048986056,0.0040846434779319,0.1141596363132444,0.1769342402003664,0.0193779940602684,2.362503447220985,0.1343529582978476,0.2401582675047236,0.0219786557628526,1.9410040959662065,2.7159595312586085,0.686578670939207,0.0172128635189705,0.011666188276935,0.0035374324845073,0.0992178206807405,0.1564089673446451,0.0170404425105534,2.079989469804397,0.119349563746969,0.2143863793241874,0.019537756079877,1.7209452119798685,2.4075238829190755,20722678.22593622,5832006.212129284,20995876.515462182,42.38966789667896,1.2113837638376386,29.845756457564573,32.56125461254613,38.98819188191882,46.58653136531365,55.27638376383764,63.03671586715868,66.83099630996308,65.880073800738,59.42527675276753,49.16992619926199,40.32380073800738,32.30110701107011,49.208671586715866,53.124169741697415,61.01531365313654,69.76217712177122,77.65756457564576,84.65608856088562,88.32730627306273,87.60110701107011,81.81845018450184,71.87490774907748,61.049815498154985,51.13911439114391,75.21643835616439,214.57495256166985
stden,1.7403617634423825,0.0183956782321789,0.1098381208162626,3.014788147028752,4.562124627224563,5.670662087087592,0.2046707340600779,0.1519952565003755,10.288447095476682,2.795998278196692,332.68807098769355,35.53755854884622,211.65229447238093,13.21250995706874,1138.9435325508598,228.3467278067596,14.143607407953516,1292.3319737255451,0.9166283545931262,9.58735023241032,0.0727339307848499,7.873564616960698,0.8195208425963248,4.6595213388590855,0.3262939074828174,25.83612167169461,4.912755268231035,0.3442655673979037,28.407044646302044,0.2827947055261937,22.68203325143961,4.328880429053779,0.2951349624097792,24.793648094591145,9024604.845381012,2473855.035350096,13985261.988512583,14.594264736437305,2.081194759857413,11.772261798973249,11.7002420292282,10.058423199569958,8.17515305943546,7.418223007278904,6.897655018513095,6.370968988118749,6.619504897920874,7.603325029804063,8.660528546626155,9.283255239955997,10.846587351101643,13.161057221584237,12.631429042303118,10.436858897625893,7.928565539983084,6.796807809135612,6.026868805666727,5.293850441795557,5.455131239578135,6.026776830615386,7.843881447932223,10.146104258216166,12.325069496297717,15.028367029969036,2.256125784291888,0.0208829744719262,0.0996248636749355,3.1935199309248885,4.152271035398173,5.789156016437323,0.2120177327561022,0.1520914030916248,9.094552490942782,940.2294654023372,67.7875541959822,75.26754257978176,0.2294853260274748,20.42521032620397,1.442093865962563,1.5931800687154687,0.1911102558785578,17.03299635616665,1.1851178381932643,1.3167662081217717,8742992.225793578,2444372.7236971413,14252787.823062178,15.599523772746226,2.221329487995793,11.856250899074109,11.954747572212105,10.462684364576182,8.577670479650104,7.771287499167236,7.14134813331088,6.591613317648985,6.903767893425895,7.8996991193215775,8.971577144103438,9.521470641823804,10.948099267715389,13.046596105113206,12.600787499931538,10.52511928181945,8.054014080933484,6.875869528357418,6.015219102268246,5.2985125158620985,5.5316907814459615,6.115705823352372,7.938116602760894,10.102763583144911,12.217553810082473,9.294486820605613,8.975607443646837,1.563909730875905,0.0150827875221986,0.0937113454273562,2.860991613277508,4.120564186216624,5.536461180429464,0.2112380355269163,0.145367260773431,0.5236544688693557,0.0374577246415815,0.0319115345113248,0.0107075534684344,0.3933266488571001,0.1047388962559554,0.0276237611192521,2.1690369283201894,0.1178257638589354,0.3018297363319525,0.0411658212656918,1.17229082083543,1.6290850365102412,0.4659291406687824,0.0335635088508875,0.0269213724132834,0.0094273399388343,0.3492582889823753,0.0923308203042307,0.0241820175171113,1.8975920393419825,0.1041401734653966,0.2682268366764873,0.0353440956036714,1.0498442348345278,1.4584142583776825,8866413.51625215,2455178.131452141,14512408.963316048,15.201632798555092,1.859488414238824,11.666684301152298,11.6805232869168,10.185727699100802,8.34476344173175,7.613807823925069,6.989908296734608,6.425976351504656,6.7269854744818085,7.724335401556086,8.749842359892362,9.30907217013499,10.788421370844556,12.888301658385105,12.411739575588143,10.374040025536686,7.936495484393218,6.767153138239409,5.844361288488738,5.042987873490741,5.282663167365504,5.962650587290539,7.809195869015008,10.030248989925797,12.14316587404122,9.320459358698955,14.05740395743174
min,66.0,0.2741312741312741,4.24,25.5,5.0,103.0,6.5,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.1818181818181818,0.0,0.1545454545454545,0.0772727272727272,0.0,0.1545454545454545,1457901.3846153845,402317.5384615384,163586.3076923077,4.72,0.0,7.0,5.3,13.4,24.6,33.7,41.9,45.1,44.1,35.4,28.0,17.4,10.0,24.5,29.3,40.1,51.1,61.5,70.8,73.9,74.3,68.6,55.7,41.1,26.9,149.0,65.0,0.3117408906882591,4.22,26.0,4.0,103.0,6.42,3.73,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.0,1.4,0.175,0.175,2880060.6153846155,630475.8181818182,308323.21428571426,4.72,0.0,7.0,5.3,13.4,24.6,33.7,41.9,48.0,46.7,37.9,28.0,17.4,10.0,24.5,29.3,40.1,51.1,61.5,70.8,73.9,74.3,68.6,55.7,41.1,26.9,52.0,168.0,67.0,0.3287671232876712,4.27,29.0,2.0,108.0,6.28,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4958333333333333,0.0,0.0,0.0,0.0,0.0,1857444.0,556191.3571428572,180626.64285714287,4.72,0.0,2.9,5.3,13.4,24.6,33.7,41.9,48.0,46.7,37.9,28.0,17.4,7.4,22.9,27.8,39.4,51.1,61.5,70.8,73.9,74.3,68.6,55.7,40.2,26.0,54.0,168.0
max,76.0,0.4166666666666667,4.93,43.0,34.0,137.0,7.68,4.73,54.0,19.0,2059.0,303.0,1220.0,77.0,7125.0,1264.0,87.0,7444.0,6.0,99.0,0.5833333333333334,46.79545454545455,5.941176470588236,27.0,2.2142857142857144,156.4848484848485,27.82608695652174,2.2142857142857144,174.3030303030303,1.7714285714285716,144.0159574468085,27.75,1.7714285714285716,150.16063829787234,39355527.0,11051188.07142857,58306708.78571428,122.63,10.66,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,247.0,78.0,0.45,4.85,45.0,27.0,141.0,7.57,4.77,60.0,5278.0,387.0,398.0,2.0,138.0,12.0,12.0,1.4,111.66458333333333,8.399999999999999,9.75,39355527.0,11051188.07142857,58306708.78571428,122.63,21.89,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,99.0,221.0,76.0,0.4269005847953216,4.94,45.0,27.0,147.0,7.5,4.76,2.5789473684210527,0.4230769230769231,0.3333333333333333,0.0769230769230769,3.24,0.6176470588235294,0.1666666666666666,13.5,0.8478260869565217,1.9166666666666667,0.515625,5.815789473684211,8.394736842105264,2.321052631578948,0.4230769230769231,0.3076923076923077,0.0769230769230769,3.24,0.586764705882353,0.1397058823529411,12.825,0.6153846153846154,1.5769230769230769,0.3609374999999999,5.23421052631579,7.555263157894737,39355527.0,11051188.07142857,58306708.78571428,122.63,10.66,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,99.0,267.0
